,label_pl,text_pl
28,Łuszczyca,"Moja skóra narządów płciowych jest czerwona i podrażniona. Często jest drażniący, pieczący i nieprzyjemny. Występują również wysypki w różnych miejscach ciała. Poza tym odczuwam dziwny ból w stawach."
29,Łuszczyca,"Miałem problemy ze snem z powodu swędzenia i bólu wywołanego wysypką. Moje paznokcie mają małe wgniecenia, co jest naprawdę niepokojące. Na moich paznokciach pojawia się zauważalny stan zapalny."
30,Łuszczyca,Ze względu na suche i łuszczące się miejsca na skórze jestem podatna na infekcje. Moje stawy są w potwornej agonii. Zaczyna mi się łuszczyć skóra na kolanach i łokciach.
31,Łuszczyca,"Na mojej skórze pojawiają się wysypki. Kiedy drapię lub pocieram wysypkę, często krwawi. Ponadto zaobserwowałem małe wgniecenia na paznokciach. Na moich paznokciach pojawia się zauważalny stan zapalny."
32,Łuszczyca,"Zauważyłam, że moja skóra jest teraz bardziej wrażliwa niż kiedyś. Moja skóra ma srebrzysty nalot, zwłaszcza na plecach i łokciach."
33,Łuszczyca,Moje dłonie i stopy urosły i powstały poważne pęknięcia. Pęknięcia te są nieprzyjemne i często krwawią. Poza tym skóra zaczyna się łuszczyć.
34,Łuszczyca,Na moich paznokciach zaczynają pojawiać się małe wgłębienia. Martwię się i nie wiem co jest przyczyną. Poza tym bolą mnie stawy i pojawiają się wysypki na ramionach i plecach.
35,Łuszczyca,Na mojej skórze jest srebrny pył. Poza tym zaczyna mi się łuszczyć skóra na ramionach i plecach. To dziwne i naprawdę mnie niepokoi.
36,Łuszczyca,"Moja wysypka skórna rozszerzyła się na inne obszary ciała, w tym na klatkę piersiową i brzuch. Jest to irytujące i nieprzyjemne, a często nasila się w nocy. U mnie też występuje łuszczenie się skóry."
37,Łuszczyca,"Moja wysypka skórna nasila się zimą, gdy powietrze jest suche. Aby moja skóra była nawilżona, muszę ją częściej nawilżać i używać nawilżaczy. Zmagam się też z bólem stawów."
38,Łuszczyca,Miałem problemy ze snem z powodu swędzenia i bólu wywołanego wysypką. Moje paznokcie mają małe wgniecenia. U mnie też łuszczy się skóra na różnych partiach ciała.
39,Łuszczyca,"Skóra mi się łuszczy w niektórych miejscach, zwłaszcza na kolanach, łokciach i ramionach. Peelingowi często towarzyszy uczucie bólu lub pieczenia. Robią mi się też małe wgniecenia na paznokciach, co jest naprawdę niepokojące."
40,Łuszczyca,"Moja skóra ma srebrzystą warstwę, szczególnie na plecach i ramionach. Pył ten składa się z małych łusek, które łatwo odklejają się po potarciu. Poza tym mam wysypkę na całym ciele."
41,Łuszczyca,"Moje ramiona, twarz i plecy są czerwone i podrażnione. Często jest to irytujące i nieprzyjemne. Moje paznokcie mają dziwny stan zapalny i pojawiły się na nich małe wgniecenia. Nigdy czegoś takiego nie widziałem."
42,Łuszczyca,"Miałem problemy ze snem z powodu swędzenia i bólu wywołanego wysypką. Moje paznokcie mają małe wgniecenia, co jest naprawdę niepokojące. Poza tym codziennie bolą mnie stawy i nie mam pojęcia, co jest tego przyczyną."
43,Łuszczyca,"Moje palce i podeszwy mają dość grubą skórę, która jest poważnie popękana. Złamania te bolą i często krwawią. Złamania swędzą i są pokryte łuskami."
44,Łuszczyca,"Moja skóra zmieniła się z mniej wrażliwej na bardziej wrażliwą. Moja skóra ma srebrzysty nalot, szczególnie na plecach, łokciach i kolanach."
45,Łuszczyca,"Moje paznokcie są lekko wgniecione. Nawet moje stawy odczuwają teraz rozdzierający dyskomfort. Moja skóra ma srebrzysty proszek, szczególnie na plecach i łokciach."
46,Łuszczyca,"Miałem problemy z zasypianiem z powodu bólu i swędzenia związanego z wysypką. Skóra na palcach zaczyna mi się łuszczyć. Moje paznokcie mają kilka drobnych pęknięć, co jest naprawdę niepokojące."
47,Łuszczyca,"Moje stawy odczuwają niezwykły dyskomfort. Dodatkowo doświadczyłam dziwnego łuszczenia się skóry w różnych miejscach na ciele. Martwię się, że coś jest nie tak z moim organizmem."
48,Łuszczyca,"Zaczynam mieć wysypkę na rękach i szyi. Wysypka często krwawi i boli, gdy ją drapię. Zrobiły mi się też małe wgniecenia na paznokciach, co jest bardzo dziwne."
49,Łuszczyca,Ze względu na suche i łuszczące się miejsca na skórze jestem podatna na infekcje. Moje stawy odczuwają ogromny ból. Zaczyna mi się łuszczyć skóra na kolanach i łokciach.
50,Żylaki,"Mam wysypkę na nogach, która powoduje wiele dolegliwości. Wygląda na to, że jest skurcz i widzę widoczne żyły na łydce. Poza tym przez ostatnie kilka dni czułem się bardzo zmęczony i zmęczony."
51,Żylaki,"Bolą mnie łydki, kiedy chodzę lub stoję przez dłuższy czas. Na łydkach mam ślady siniaków, co mnie niepokoi. Bardzo szybko poczuję się zmęczony."
52,Żylaki,"Mam siniaki na nogach, których nie potrafię wyjaśnić. Widzę dziwne naczynia krwionośne pod skórą. Poza tym jestem trochę otyła i bardzo się martwię."
53,Żylaki,"Mam nadwagę i zauważyłem, że moje nogi są spuchnięte, a naczynia krwionośne są widoczne. Nogi mi spuchły i na łydkach widzę strumień spuchniętych żył."
54,Żylaki,"Żyły na łydkach stały się bardzo widoczne i powodują dyskomfort. Nie mogę stać przez dłuższy czas, ponieważ powoduje to ból w nogach, podobny do skurczów."
55,Żylaki,"Skóra wokół żył na nogach jest czerwona i występuje stan zapalny. Wydaje mi się, że widzę niektóre spuchnięte naczynia krwionośne. Naprawdę się tym martwię."
56,Żylaki,Długotrwałe stanie lub chodzenie powoduje silny ból nóg. Dostaję skurcze podczas wykonywania ćwiczeń fizycznych. Na nogach też mam ślady siniaków.
57,Żylaki,"Skurcze w łydkach utrudniają mi chodzenie. Po pewnym czasie pracy czuję się zmęczony. Uważam, że przyczyną jest otyłość."
58,Żylaki,"W ciągu ostatnich kilku tygodni obrzęk moich nóg nasilił się. Obecnie na łydkach widać dużą ilość żył, co mnie niepokoi."
59,Żylaki,"Żyły na nogach są bardzo widoczne i powodują dyskomfort. Wygląda na to, że mam dużego siniaka i dostaję skurczów, kiedy biegam."
60,Żylaki,"Skóra na łydkach stała się zapalna i zaczerwieniona. Bolą mnie nogi, gdy próbuję biegać lub wykonywać jakąkolwiek aktywność fizyczną."
61,Żylaki,"Ostatnio ból łydek jest stały i nasila się, gdy stoję lub chodzę przez dłuższy czas. Moje nogi zaczęły puchnąć, a także niektóre naczynia krwionośne są dość widoczne."
62,Żylaki,"Żyły na nogach powodują dyskomfort i trudności w zasypianiu w nocy. Nie mam pojęcia dlaczego tak się dzieje. Kiedy biegam, dostaję skurczów."
63,Żylaki,"Opuchnięte nogi powodują, że mam trudności z dopasowaniem się do butów. Nie mogę biegać ani stać przez dłuższy czas. Widzę spuchnięte naczynia krwionośne."
64,Żylaki,"Zauważyłem, że skurcze łydek stają się coraz częstsze i intensywniejsze. Sprawia mi to wiele dyskomfortów. Mam też nadwagę i zaczęły mi puchnąć nogi."
65,Żylaki,"Żyły na nogach powodują wiele dyskomfortu, gdy siedzę przez dłuższy czas."
66,Żylaki,Wysypka na nogach rozprzestrzenia się i staje się coraz poważniejsza. Bieganie stało się dla mnie bardzo trudne.
67,Żylaki,Moje nogi sprawiają mi duży dyskomfort podczas ćwiczeń. Mam częste skurcze i naczynia krwionośne stały się dość zauważalne.
68,Żylaki,"Wydatne naczynia krwionośne na moich łydkach powodują skrępowanie i zakłopotanie. Myślę, że problem leży w mojej nadwadze."
69,Żylaki,"Skóra wokół żył na nogach jest sucha i łuszcząca się. Wygląda na to, że mam dużego siniaka i nogi zaczęły mi puchnąć."
70,Żylaki,"Mam wysypkę na nogach, która powoduje wiele podrażnień i dyskomfortu. Jest czerwony i objęty stanem zapalnym i wydaje się, że się rozprzestrzenia."
71,Żylaki,"Ostatnio często odczuwam skurcze w łydkach, zwłaszcza gdy chodzę lub stoję przez dłuższy czas. Również żyły są bardzo widoczne."
72,Żylaki,"Zauważyłem, że na nogach mam siniaki, których nie potrafię wytłumaczyć. Nie są one bolesne, ale są dla mnie niepokojące."
73,Żylaki,"Ponieważ mam nadwagę, zauważyłem, że moje nogi są spuchnięte, a naczynia krwionośne są bardziej widoczne niż zwykle. Wydaje się, że obrzęk z biegiem czasu się nasila."
74,Żylaki,Żyły na łydkach są bardzo widoczne i powodują wiele dolegliwości. Są spuchnięte i wystają ze skóry.
75,Żylaki,"Skóra wokół żył na nogach jest czerwona, zapalona i swędzi. Jest to dla mnie bardzo bolesne i zaczynam mieć regularne skurcze."
76,Żylaki,"Długotrwałe stanie lub chodzenie powodowało silny ból nóg. Czuję się jak skurcze, które stają się silniejsze, im dłużej stoję na nogach."
77,Żylaki,Skurcze łydek utrudniają mi chodzenie i wykonywanie codziennych czynności. Pojawiają się nagle i trwają kilka minut.
78,Żylaki,"W ciągu ostatnich kilku tygodni obrzęk moich nóg nasilił się i sprawia, że ​​mam trudności z dopasowaniem się do butów. Do tego dochodzi dyskomfort podczas długotrwałego siedzenia."
79,Żylaki,"Żyły na moich nogach są bardzo widoczne i powodują wiele dyskomfortu. Są spuchnięte i wystają ze skóry, przez co są widoczne przez ubranie."
80,Żylaki,"Skóra na łydkach swędzi mnie i jest podrażniona, co powoduje duży dyskomfort i trudności w zasypianiu w nocy. Naczynia krwionośne zaczęły wystawać, co jest niepokojące."
81,Żylaki,"Ból łydek jest stały i nasila się, gdy stoję lub chodzę przez dłuższy czas. Mam ciągłe skurcze i nie mogę biegać przez dłuższy czas."
82,Żylaki,"Żyły na nogach powodują dyskomfort i trudności w zasypianiu w nocy. Są spuchnięte i wystają ze skóry, przez co są zauważalne i bolesne."
83,Żylaki,"Opuchnięte nogi powodują, że mam trudności z dopasowaniem się do butów i powodują dyskomfort, gdy siedzę przez dłuższy czas."
84,Żylaki,"Skurcze łydek stają się coraz częstsze i intensywniejsze, co utrudnia mi chodzenie i wykonywanie codziennych czynności."
85,Żylaki,"Żyły na nogach powodują wiele dolegliwości, gdy siedzę przez dłuższy czas. Są spuchnięte i wystają ze skóry, przez co są bolesne i zauważalne."
86,Żylaki,"Wysypka na nogach rozprzestrzenia się i staje się coraz poważniejsza. Jest czerwony, zapalny i swędzi, powodując duży dyskomfort i trudności ze snem w nocy."
87,Żylaki,"Moje nogi sprawiają mi duży dyskomfort podczas ćwiczeń. Wydają się ciężkie i opuchnięte, a żyły są widoczne i bolesne. Cały czas czuję się zmęczony."
88,Żylaki,"Wydatne żyły na moich łydkach powodują skrępowanie i zakłopotanie. Są spuchnięte i wystają ze skóry, przez co są bardzo widoczne."
89,Żylaki,"Skóra wokół żył na nogach jest sucha i łuszcząca się, co powoduje dyskomfort i podrażnienie. Zaczynam też mieć częste skurcze."
90,Żylaki,"Mam wysypkę na nogach, która sprawia mi duży ból. Wygląda na to, że pojawił się skurcz i widzę widoczne żyły na łydce."
91,Żylaki,"Moje żyły na nogach stały się bardziej widoczne i opuchnięte niż zwykle. Są widoczne przez moją skórę i boli, kiedy się poruszam."
92,Żylaki,"Chodzenie jest dla mnie trudne ze względu na skurcze łydek. Uważam, że przyczyną tego jest otyłość. Po chwili pracy jestem wyczerpany."
93,Żylaki,Naczynia krwionośne na moich nogach są dość widoczne i sprawiają mi duży ból. Są duże i wystają ze skóry. To niezwykłe i martwię się tym.
94,Żylaki,"Zauważyłem, że naczynia krwionośne w nogach stają się bardziej widoczne niż zwykle. Jest to dla mnie trochę niepokojące. Poza tym codziennie odczuwam skurcze."
95,Żylaki,W ciągu ostatnich kilku dni obrzęk moich nóg nasilił się. Widzę naczynia krwionośne wystające ze skóry. To jest dość niezwykłe.
96,Żylaki,"Długie przebywanie w pozycji stojącej lub chodzenie spowodowało poważny dyskomfort w nogach. Jest to piekący ból, który nasila się, im dłużej stoję na nogach."
97,Żylaki,"Skóra moich nóg wokół żył jest nietypowa. Wygląda na to, że jest duży siniak. Obecnie często odczuwam skurcze podczas sprintu lub biegania."
98,Żylaki,"W ciągu ostatnich kilku dni odczuwam zbyt dużo skurczów. Myślę, że coś jest nie tak. Wydaje mi się, że mam małego siniaka na łydkach, ale nie jestem tego pewien."
99,Żylaki,"Żyły na moich łydkach wystają dość nietypowo. Martwię się tym. Poza tym mam nadwagę i myślę, że to jest przyczyną tego wszystkiego."
100,Dur brzuszny,"Mam zaparcia i bóle brzucha i jest to naprawdę nieprzyjemne. Ból brzucha nasilał się i zaczyna wpływać na moje codzienne życie. Co więcej, każdej nocy dostaję dreszczy, po których następuje lekka gorączka."
101,Dur brzuszny,"Miałem też biegunkę, która była naprawdę nieprzyjemna. Pojawia się i znika, towarzyszą mu skurcze brzucha i wzdęcia."
102,Dur brzuszny,"Mam dreszcze i gorączkę, a także silny ból brzucha. Ogólnie czuję się naprawdę nieszczęśliwie i po prostu nie mogę się otrząsnąć z tych symptomów."
103,Dur brzuszny,"Mam duże problemy z utrzymaniem nawodnienia z powodu wymiotów i biegunki. Występuje łagodna gorączka, zaparcia i bóle głowy."
104,Dur brzuszny,"W zeszłym tygodniu dużo schudłem, bo nie mogłem dużo zjeść z powodu nudności i wymiotów. Następnie pojawia się łagodna gorączka, ból głowy i brzucha. Naprawdę martwię się o swoje zdrowie."
105,Dur brzuszny,Zmęczenie było naprawdę nieprzyjemne i miałem wiele trudności w wykonywaniu moich zwykłych czynności. Poczułam się też bardzo przygnębiona i rozdrażniona. Pojawia się także lekki ból w części brzusznej.
106,Dur brzuszny,"Od tygodnia boli mnie głowa i jest coraz gorzej. Towarzyszą mu bóle brzucha, zaparcia i biegunka."
107,Dur brzuszny,"Mam wysoką gorączkę, zwłaszcza w nocy. Było naprawdę niewygodnie. Występuje łagodny ból głowy, któremu towarzyszą zaparcia i biegunka."
108,Dur brzuszny,"Mam duże trudności z oddychaniem i czuję, że ciągle mam mdłości. Mam też lekkie bóle brzucha. Czasami było to przerażające."
109,Dur brzuszny,"Biegunka jest naprawdę wodnista i śmierdząca, towarzyszy jej ból brzucha. Przez większość czasu mam ochotę wymiotować."
110,Dur brzuszny,"Mam duże problemy ze snem z powodu wysokiej gorączki, bólu głowy i dreszczy. Codziennie budzę się z potwornym bólem w okolicy brzucha."
111,Dur brzuszny,"Mam też biegunkę i zaparcia, co jest naprawdę niepokojące. Czuję ostry, kłujący ból w okolicy brzucha. Cały czas czuję się zmęczony."
112,Dur brzuszny,"Miałem zaparcia i ból brzucha, co było naprawdę nieprzyjemne. Ból się nasila i naprawdę wpływa na moje codzienne życie."
113,Dur brzuszny,"Odczuwam silny ból brzucha i zaparcia, co jest naprawdę denerwujące. Czasami czuję silną potrzebę wymiotów i z tego powodu czuję się bardzo słabo."
114,Dur brzuszny,Ból brzucha pojawiał się i znikał i był naprawdę nieprzyjemny. Towarzyszą temu zaparcia i wymioty. Naprawdę martwię się o swoje zdrowie.
115,Dur brzuszny,"Często odczuwam wzdęcia i zaparcia, przez co było to naprawdę nieprzyjemne. Mam wrażenie, że w okolicy brzucha panuje duży ucisk i ból."
116,Dur brzuszny,"Odczuwam silny ból brzucha i zaparcia. Każdej nocy mam silną gorączkę, dreszcze i bóle głowy. Ostatnie kilka dni było naprawdę niekomfortowe."
117,Dur brzuszny,"Czuję się wyczerpana i słaba, i nie mogę się tego pozbyć. Z powodu wymiotów i nudności całkowicie straciłem apetyt. Bóle brzucha, które mnie niepokoją."
118,Dur brzuszny,"Mam zaparcia i bóle brzucha, co jest naprawdę trudne. Dyskomfort nasilił się i poważnie utrudnia mi codzienne życie."
119,Dur brzuszny,"Z powodu wymiotów i biegunki mam duże trudności z utrzymaniem nawodnienia. Mam wysoką gorączkę, a także zaparcia i bóle głowy."
120,Dur brzuszny,Ból brzucha był częsty i naprawdę bolesny. Wystąpiły również zaparcia i wymioty. Bardzo martwię się o swoje zdrowie.
121,Dur brzuszny,Mam silne bóle brzucha i zaparcia. Każdej nocy boli mnie głowa i mam dreszcze. Ostatnie kilka dni było naprawdę bolesne.
122,Dur brzuszny,"Czuję wyraźny ból w części brzusznej. Nie jestem pewien, co to jest. Ja też ciągle wymiotuję i mam mdłości."
123,Dur brzuszny,"Biegunka była dość płynna i śmierdząca, towarzyszył jej silny ból brzucha i ból głowy. Przez większość czasu mam ochotę wymiotować."
124,Dur brzuszny,Od kilku dni mam gorączkę. Teraz zaczynam odczuwać silny ból w okolicy brzucha i cierpię na zaparcia.
125,Dur brzuszny,"Mam częste mdłości i wymioty, ciężko mi cokolwiek zjeść. Całkowicie straciłem apetyt, w wyniku czego stałem się dość słaby."
126,Dur brzuszny,"Mam duże problemy ze snem z powodu wysokiej gorączki i bólu głowy. Poza tym ciągle boli mnie brzuch, przez co nie mogę iść do pracy."
127,Dur brzuszny,"Czuję się naprawdę zmęczona i słaba, i nie mogę się tego pozbyć. Mam lekką gorączkę i dziwny ból w okolicy brzucha. Nie mogę zrozumieć, co się dzieje."
128,Dur brzuszny,"Cierpię na zaparcia i dyskomfort w żołądku, co jest naprawdę nieprzyjemne. Wczoraj w nocy też miałam lekką gorączkę."
129,Dur brzuszny,"Mam też biegunkę, która jest naprawdę nieprzyjemna. Pojawia się i znika, towarzyszą mu bóle brzucha i wymioty."
130,Dur brzuszny,"Mam dreszcze, gorączkę i ogromny dyskomfort w żołądku. Ogólnie jestem nieszczęśliwy i nie mogę pozbyć się tych objawów."
131,Dur brzuszny,Z powodu wymiotów i biegunki mam duże trudności z utrzymaniem nawodnienia. Występuje również łagodna gorączka i ból brzucha.
132,Dur brzuszny,Rozwinęła się u mnie biegunka. Towarzyszy temu silny ból w okolicy brzucha. Nie mam ochoty nic jeść i przez większość czasu boli mnie głowa.
133,Dur brzuszny,"Miałem dużo wzdęć i zaparć, co było naprawdę bolesne. W okolicy brzucha odczuwam duży ucisk i ból. Co noc mam wysoką gorączkę i dreszcze."
134,Dur brzuszny,"Od tygodnia cierpię na uporczywy ból brzucha, który nie ustępuje pomimo stosowania leków. Mam ochotę wymiotować i nie mogę nic jeść, przez co jestem bardzo osłabiony."
135,Dur brzuszny,Mam silne dolegliwości żołądkowe i biegunkę. Mam wysoką gorączkę i ból głowy. Poprzednich kilka dni było naprawdę nieprzyjemnych.
136,Dur brzuszny,Strasznie boli mnie brzuch i mam straszne mdłości. Mam też lekką gorączkę. Naprawdę się martwię.
137,Dur brzuszny,"Mam zaparcia i bóle brzucha. Dyskomfort nasilił się i poważnie utrudnia mi codzienne życie. Mam wrażenie, że straciłam apetyt na cokolwiek."
138,Dur brzuszny,Przez większość czasu czuję się zmęczony. Nie chcę nic jeść. Co noc mam wysoką gorączkę i dreszcze. Poza tym od wczoraj wymiotuję.
139,Dur brzuszny,"Straciłem apetyt i zauważyłem znaczną utratę wagi. Mam bóle brzucha, szczególnie w okolicy żołądka i jelit. Martwię się o swoje zdrowie."
140,Dur brzuszny,Dyskomfort w żołądku był poważny i częsty. Zdarzały się także wymioty i zaparcia. Martwię się o swoje zdrowie.
141,Dur brzuszny,"Mam biegunkę i kilka razy dziennie mam luźne, wodniste stolce. Straciłam apetyt i cały czas mam mdłości. Ja też zaczynam mieć lekką gorączkę."
142,Dur brzuszny,"Czuję się dość słabo. Mam duży dyskomfort w żołądku i zaparcia, co bardzo mi przeszkadza. Czasem mam silną potrzebę wymiotowania i w efekcie nie mogę nic zjeść."
143,Dur brzuszny,"Czuję dziwny ból w okolicy brzucha. Nie wiem, jaka jest tego przyczyna. Poza tym zaczynam mieć lekką gorączkę, której towarzyszą dreszcze i bóle głowy."
144,Dur brzuszny,"Mam wysoką gorączkę, szczególnie w nocy. To było dość nieprzyjemne. Występuje niewielki ból głowy, a także zaparcia i biegunka. Nie mam ochoty nic jeść."
145,Dur brzuszny,"Mam duże problemy z utrzymaniem nawodnienia z powodu wymiotów i biegunki. Mam wysoką gorączkę, zaparcia i ból głowy. Zaczynam też odczuwać dziwny ból w okolicy brzucha i nie mogę wykonywać żadnych ćwiczeń fizycznych."
146,Dur brzuszny,"Od tygodnia boli mnie głowa, która narasta. Towarzyszą mu bóle brzucha, zaparcia i biegunka. Nie wiem co się dzieje i bardzo się tym martwię."
147,Dur brzuszny,"W zeszłym tygodniu bardzo schudłam, bo nie mogłam dużo jeść z powodu nudności i wymiotów. Następnie pojawia się wysoka gorączka, ból głowy i brzucha."
148,Dur brzuszny,"Mam biegunkę i zaparcia, co jest dość niepokojące. W brzuchu czuję silny, bolesny ból. Jestem ciągle zmęczona i nie mam ochoty nic jeść."
149,Dur brzuszny,"Kilka razy dziennie mam biegunkę i luźne, wodniste stolce. Straciłam apetyt i ciągle jestem chora. Mam też lekką gorączkę. Poza tym bardzo boli mnie część brzucha. Nie wiem, jaka jest przyczyna tego wszystkiego."
150,Ospa wietrzna,"Odczuwam intensywne swędzenie na całej skórze i doprowadza mnie to do szału. Mam też wysypkę, która jest czerwona i zapalna."
151,Ospa wietrzna,"Czuję się zmęczona i nie mam energii. W ciągu dnia ledwo mogę utrzymać oczy otwarte, czuję się ospały i nie mogę się zmotywować."
152,Ospa wietrzna,Od kilku dni mam wysoką gorączkę. Nie wiem co jest tego przyczyną. Zauważyłam też wysypkę na skórze i ciężko mi się powstrzymać przed drapaniem.
153,Ospa wietrzna,Straciłem apetyt i nie mam ochoty nic jeść. Martwię się o swoje zdrowie.
154,Ospa wietrzna,"Na całym ciele mam małe czerwone plamki, których nie potrafię wyjaśnić. Martwię się o to. Czuję się ogromnie zmęczony i każdej nocy mam lekką gorączkę."
155,Ospa wietrzna,"Moje węzły chłonne są powiększone, co powoduje dyskomfort w szyi i pod pachami. Nie wiem co jest tego przyczyną."
156,Ospa wietrzna,"Jest mi naprawdę niedobrze i niekomfortowo, jakby coś było nie tak w środku. Nie wiem, co to może być. Zauważyłem małe czerwone plamki na ramionach, które swędzą, gdy ich dotykam."
157,Ospa wietrzna,Swędzenie utrudnia mi spanie w nocy. Nie mogę odpocząć. Straciłem też apetyt i czuję się ospały.
158,Ospa wietrzna,"Martwię się tą wysypką na mojej skórze. Rozprzestrzenia się szybko i powoduje wiele dolegliwości. W nocy prawie nie mogę spać z powodu swędzenia,"
159,Ospa wietrzna,Nie mam już sił i straciłam apetyt. Bardzo źle się czuję i nie wiem co mi jest.
160,Ospa wietrzna,"Mam wysypkę skórną, która jest czerwona i zapalna i rozprzestrzenia się po całym ciele. Odczuwam intensywne swędzenie, szczególnie na rękach i nogach."
161,Ospa wietrzna,"Od kilku dni mam wysoką gorączkę i zaczyna mnie to niepokoić. Nie wiem co jest tego przyczyną. Mam też czerwone plamy na całych rękach i nogach, niektóre z nich są spuchnięte."
162,Ospa wietrzna,"Mam wysypkę skórną, która jest czerwona i opuchnięta i rozprzestrzenia się po całym ciele. Mam lekką gorączkę i sprawia mi to wiele dyskomfortu."
163,Ospa wietrzna,"Czuję się zmęczona i nie mam energii. W ciągu dnia ledwo mogę utrzymać oczy otwarte, czuję się ospały i nie mogę się zmotywować."
164,Ospa wietrzna,"Na całym ciele mam małe czerwone plamki, których nie potrafię wyjaśnić. Guzki są swędzące i nieprzyjemne i wydają się szybko rozprzestrzeniać. Martwię się o to."
